,Title,Video ID,Channel,Published At,Views,Likes,smartphone Name
0,iPhone 15 Series Unboxing & initial impressions  in Telugu,VHDs_oodK8k,Prasadtechintelugu,2023-09-21T17:15:07Z,1788466,83432,Apple iPhone 15 Pro Max
1,"Apple Event 2023  || Ft. iPhone 15 Series, Apple Watch 9 Series, Apple Watch Ultra 2",UBsjBYNWtSs,Prasadtechintelugu,2023-09-13T09:54:58Z,544631,25676,Apple iPhone 15 Pro Max
2,iPhone 15 Series Unboxing & initial impressions  in Telugu,VHDs_oodK8k,Prasadtechintelugu,2023-09-21T17:15:07Z,1788466,83432,Apple iPhone 15
3,iPhone 15 Series : What we know so far ll in Telugu - Prasadtechintelugu,xWKOM05I4ZI,Prasadtechintelugu,2023-09-05T07:49:28Z,359669,28481,Apple iPhone 15
4,Apple iphone 13 Series Unboxing & initial Impressions || in Telugu,fCQH6BTULiU,Prasadtechintelugu,2021-09-25T08:45:00Z,1354649,55054,Apple iPhone 13
5,Shot On iphone 13 || in Telugu ||,fekDZ-CYFm4,Prasadtechintelugu,2021-11-04T07:07:27Z,733491,31998,Apple iPhone 13
6,iPhone 14 Unboxing || Compared With iPhone 13 || in Telugu ll,uRPkjFOJoCU,Prasadtechintelugu,2022-09-24T15:28:03Z,886644,41609,Apple iPhone 14
7,iPhone 14 Plus Unboxing & initial impressions || in Telugu ||,WXZ8oxBaIkY,Prasadtechintelugu,2022-10-16T11:31:40Z,628348,28918,Apple iPhone 14
8,iPhone 15 Series Unboxing & initial impressions  in Telugu,VHDs_oodK8k,Prasadtechintelugu,2023-09-21T17:15:07Z,1788466,83432,Apple iPhone 15 Plus
9,"Apple Event 2023  || Ft. iPhone 15 Series, Apple Watch 9 Series, Apple Watch Ultra 2",UBsjBYNWtSs,Prasadtechintelugu,2023-09-13T09:54:58Z,544631,25676,Apple iPhone 15 Plus
10,సేల్స్ లో ఏ iphone కొనాలి ? || September 2022 ll,4mcFzK13IkU,Prasadtechintelugu,2022-09-20T07:06:32Z,764893,40431,Apple iPhone 11
11,సేల్స్ లో ఏ iphone కొనాలి ? || October 2023 ll,h5SkFwN_0jQ,Prasadtechintelugu,2023-10-02T15:07:17Z,783042,34744,Apple iPhone 11
12,Apple iPhone 12 & 12 Pro Unboxing ll in Telugu ll,0ZYB_uDUozA,Prasadtechintelugu,2020-11-04T04:49:21Z,871343,51599,Apple iPhone 12
13,iPhone 12 Pro Review After One Month ll in Telugu ll,9XXGm9pEebY,Prasadtechintelugu,2020-12-09T09:13:09Z,588579,29864,Apple iPhone 12
14,iPhone 15 Series Unboxing & initial impressions  in Telugu,VHDs_oodK8k,Prasadtechintelugu,2023-09-21T17:15:07Z,1788466,83432,Apple iPhone 15 Pro
15,iPhone 15 Series : What we know so far ll in Telugu - Prasadtechintelugu,xWKOM05I4ZI,Prasadtechintelugu,2023-09-05T07:49:28Z,359669,28481,Apple iPhone 15 Pro
16,iPhone 14 Plus Unboxing & initial impressions || in Telugu ||,WXZ8oxBaIkY,Prasadtechintelugu,2022-10-16T11:31:40Z,628348,28918,Apple iPhone 14 Plus
17,సేల్స్ లో ఏ iphone కొనాలి ? || October 2023 ll,h5SkFwN_0jQ,Prasadtechintelugu,2023-10-02T15:07:17Z,783042,34744,Apple iPhone 14 Plus
18,iPhone 12 Pro Review After One Month ll in Telugu ll,9XXGm9pEebY,Prasadtechintelugu,2020-12-09T09:13:09Z,588579,29864,Apple iPhone 12 Pro Max
